Species,Gene_Function,Count
普通小麦 (Triticum aestivum - 六倍体),Vacuolar protein sorting-associated protein 29,3
普通小麦 (Triticum aestivum - 六倍体),Mediator complex,3
普通小麦 (Triticum aestivum - 六倍体),26S Proteasome non-ATPase regulatory subunit 7/8,3
普通小麦 (Triticum aestivum - 六倍体),Cleavage and polyadenylation specificity factor subunit 2,3
普通小麦 (Triticum aestivum - 六倍体),U4/U6 small nuclear ribonucleoprotein Prp3,3
普通小麦 (Triticum aestivum - 六倍体),DNA primase,3
普通小麦 (Triticum aestivum - 六倍体),U3 small nucleolar RNA-associated protein 11,3
普通小麦 (Triticum aestivum - 六倍体),TAP46-like protein,3
普通小麦 (Triticum aestivum - 六倍体),GNAT domain,3
普通小麦 (Triticum aestivum - 六倍体),Conserved oligomeric Golgi complex subunit 6,3
普通小麦 (Triticum aestivum - 六倍体),-alpha-acetyltransferase 35,3
普通小麦 (Triticum aestivum - 六倍体),Vps53-like,3
普通小麦 (Triticum aestivum - 六倍体),DNA replication complex GINS protein PSF2,3
普通小麦 (Triticum aestivum - 六倍体),CXXC motif containing zinc binding protein,3
普通小麦 (Triticum aestivum - 六倍体),Origin recognition complex,3
普通小麦 (Triticum aestivum - 六倍体),PUA domain,3
普通小麦 (Triticum aestivum - 六倍体),26S Proteasome non-ATPase regulatory subunit 9,3
普通小麦 (Triticum aestivum - 六倍体),SRP-independent targeting protein 2/TMEM208,3
普通小麦 (Triticum aestivum - 六倍体),Nuclear cap-binding protein subunit 2,3
普通小麦 (Triticum aestivum - 六倍体),RNA recognition motif domain,3
普通小麦 (Triticum aestivum - 六倍体),Autophagy-related protein 3,3
普通小麦 (Triticum aestivum - 六倍体),DNA replication complex GINS protein SLD5,3
普通小麦 (Triticum aestivum - 六倍体),Deoxyhypusine hydroxylase,3
普通小麦 (Triticum aestivum - 六倍体),Vta1,3
普通小麦 (Triticum aestivum - 六倍体),Cdk-activating kinase assembly factor MAT1,3
普通小麦 (Triticum aestivum - 六倍体),Translocation protein Sec62,3
普通小麦 (Triticum aestivum - 六倍体),SF3B4,3
普通小麦 (Triticum aestivum - 六倍体),Adenylate kinase isoenzyme 6,3
普通小麦 (Triticum aestivum - 六倍体),DNA-directed RNA polymerase,3
普通小麦 (Triticum aestivum - 六倍体),SUI1 domain,3
普通小麦 (Triticum aestivum - 六倍体),Trafficking protein particle complex subunit,3
普通小麦 (Triticum aestivum - 六倍体),Pre-mRNA-splicing factor Isy1,3
普通小麦 (Triticum aestivum - 六倍体),NADH dehydrogenase,3
普通小麦 (Triticum aestivum - 六倍体),NADH:ubiquinone oxidoreductase intermediate-associated protein 30,3
普通小麦 (Triticum aestivum - 六倍体),COX assembly mitochondrial protein,3
普通小麦 (Triticum aestivum - 六倍体),Transcription elongation factor SPT4,3
普通小麦 (Triticum aestivum - 六倍体),TMEM85/ER membrane protein complex subunit 4,3
普通小麦 (Triticum aestivum - 六倍体),PDCD5-like,3
普通小麦 (Triticum aestivum - 六倍体),DNA polymerase epsilon catalytic subunit,2
普通小麦 (Triticum aestivum - 六倍体),Asparagine synthase,2
普通小麦 (Triticum aestivum - 六倍体),Helicase,2
普通小麦 (Triticum aestivum - 六倍体),Translational activator Gcn1,2
普通小麦 (Triticum aestivum - 六倍体),digestive organ expansion factor homolog,2
普通小麦 (Triticum aestivum - 六倍体),RNA cytidine acetyltransferase,2
普通小麦 (Triticum aestivum - 六倍体),Radical SAM,2
普通小麦 (Triticum aestivum - 六倍体),Nucleolar complex-associated protein 3,2
普通小麦 (Triticum aestivum - 六倍体),Tetratricopeptide repeat-containing domain,2
普通小麦 (Triticum aestivum - 六倍体),Ubiquitin-like modifier-activating enzyme Atg7,2
普通小麦 (Triticum aestivum - 六倍体),AP-3 complex subunit delta,2
普通小麦 (Triticum aestivum - 六倍体),Pyridoxal phosphate-dependent transferase,2
普通小麦 (Triticum aestivum - 六倍体),P-loop containing nucleoside triphosphate hydrolase,2
普通小麦 (Triticum aestivum - 六倍体),Gamma-tubulin complex component,2
普通小麦 (Triticum aestivum - 六倍体),NAD,2
普通小麦 (Triticum aestivum - 六倍体),ATP12,2
普通小麦 (Triticum aestivum - 六倍体),DNA polymerase alpha/delta/epsilon,2
普通小麦 (Triticum aestivum - 六倍体),Initiation factor 2B-related,2
普通小麦 (Triticum aestivum - 六倍体),CAAX prenyl protease 1,2
普通小麦 (Triticum aestivum - 六倍体),Protein phosphatase methylesterase 1,2
普通小麦 (Triticum aestivum - 六倍体),Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit,2
普通小麦 (Triticum aestivum - 六倍体),CTLH,2
普通小麦 (Triticum aestivum - 六倍体),Dolichyl-phosphate beta-glucosyltransferase,2
普通小麦 (Triticum aestivum - 六倍体),Methyltransferase type 11,2
普通小麦 (Triticum aestivum - 六倍体),SNARE,2
普通小麦 (Triticum aestivum - 六倍体),Bystin,2
普通小麦 (Triticum aestivum - 六倍体),Exosome complex component CSL4,2
普通小麦 (Triticum aestivum - 六倍体),Ribosome biogenesis protein,2
普通小麦 (Triticum aestivum - 六倍体),Proteasome subunit beta,2
普通小麦 (Triticum aestivum - 六倍体),N-acetylglucosaminyl transferase component,2
普通小麦 (Triticum aestivum - 六倍体),Exportin-2,2
普通小麦 (Triticum aestivum - 六倍体),GPI-anchor transamidase,2
普通小麦 (Triticum aestivum - 六倍体),Ubiquinone biosynthesis protein Coq4,2
普通小麦 (Triticum aestivum - 六倍体),RWD domain,2
普通小麦 (Triticum aestivum - 六倍体),Cytochrome c oxidase assembly protein CtaG/Cox11,2
普通小麦 (Triticum aestivum - 六倍体),RNA polymerase II subunit A,2
普通小麦 (Triticum aestivum - 六倍体),NADPH,2
普通小麦 (Triticum aestivum - 六倍体),PIN domain,2
普通小麦 (Triticum aestivum - 六倍体),GPI transamidase subunit PIG-U,2
普通小麦 (Triticum aestivum - 六倍体),TIP41-like protein,2
普通小麦 (Triticum aestivum - 六倍体),Ubiquinol-cytochrome c chaperone,2
普通小麦 (Triticum aestivum - 六倍体),Cytoplasmic tRNA 2-thiolation protein 2,2
普通小麦 (Triticum aestivum - 六倍体),SKI-interacting protein,2
普通小麦 (Triticum aestivum - 六倍体),Prefoldin subunit 4,2
普通小麦 (Triticum aestivum - 六倍体),Prefoldin,2
普通小麦 (Triticum aestivum - 六倍体),Ribosomal protein S23/S29,2
香蕉 (Musa acuminata - 三倍体),WD40 repeat,26
香蕉 (Musa acuminata - 三倍体),Tetratricopeptide repeat,19
香蕉 (Musa acuminata - 三倍体),WD40-repeat-containing domain,15
香蕉 (Musa acuminata - 三倍体),Winged helix-like DNA-binding domain superfamily,15
香蕉 (Musa acuminata - 三倍体),tRNA,12
香蕉 (Musa acuminata - 三倍体),LSM domain,11
香蕉 (Musa acuminata - 三倍体),GNAT domain,10
香蕉 (Musa acuminata - 三倍体),Aminomethyltransferase,9
香蕉 (Musa acuminata - 三倍体),DnaJ domain,9
香蕉 (Musa acuminata - 三倍体),Eukaryotic translation initiation factor 3 subunit F,9
香蕉 (Musa acuminata - 三倍体),SNARE,9
香蕉 (Musa acuminata - 三倍体),PUA domain,9
香蕉 (Musa acuminata - 三倍体),Vta1,9
香蕉 (Musa acuminata - 三倍体),Pyridoxal phosphate-dependent transferase,8
香蕉 (Musa acuminata - 三倍体),ATPase,8
香蕉 (Musa acuminata - 三倍体),K Homology domain,8
香蕉 (Musa acuminata - 三倍体),ALG11 mannosyltransferase,7
香蕉 (Musa acuminata - 三倍体),SF3B4,7
香蕉 (Musa acuminata - 三倍体),Anamorsin,7
香蕉 (Musa acuminata - 三倍体),DNA polymerase,6
香蕉 (Musa acuminata - 三倍体),Mannosyltransferase,6
香蕉 (Musa acuminata - 三倍体),Cell division control protein 73,6
香蕉 (Musa acuminata - 三倍体),Pescadillo,6
香蕉 (Musa acuminata - 三倍体),26S proteasome non-ATPase regulatory subunit 3,6
香蕉 (Musa acuminata - 三倍体),Bacterial surface antigen,6
香蕉 (Musa acuminata - 三倍体),Eukaryotic translation initiation factor 3 subunit I,6
香蕉 (Musa acuminata - 三倍体),CAAX prenyl protease 1,6
